Location;<50%;50%-80%;>80%
Shawfield;0,3;0,2;0,5
Harding;0,214285714;0,392857143;0,392857143
Wellbeck;0,269230769;0,346153846;0,384615385
Hornbill;0,044444444;0,222222222;0,733333333
Winnipeg;0,066666667;0,266666667;0,666666667
Melbourne;0;0,375;0,625
Hilton;0,212765957;0,276595745;0,510638298
Barnes;0,166666667;0,583333333;0,25
Ladyc;0,038461538;0,423076923;0,538461538
Suttcliffe;0,222222222;0,222222222;0,555555556
Broadmead;0;0,333333333;0,666666667
Devonshire;0,142857143;0,2;0,657142857
Hawke;0;0,476190476;0,523809524
Efry;0,130434783;0,347826087;0,52173913
Westport;0,153846154;0,384615385;0,461538462
Addison;0,116666667;0,35;0,533333333
Fagan;0,2;0,3;0,5
Colley;0,172413793;0,344827586;0,482758621
Aspen;0,125;0,375;0,5
Greatfields;0,121212121;0,303030303;0,575757576
Groves;0;0,142857143;0,857142857
Gurney;0;0,214285714;0,785714286
Cochrane;0,0625;0,1875;0,75
Ottawa;0;0,1;0,9
Auckland;0,071428571;0,214285714;0,714285714
Lister;0;0,153846154;0,846153846
Glenister;0,12;0,12;0,76
Napier;0,304347826;0,260869565;0,434782609
Alberta;0;0,3;0,7
Perth;0,052631579;0,105263158;0,842105263
Clynes;0,307692308;0,307692308;0,384615385
Fitzgerald;0,217391304;0,173913043;0,608695652
Milner;0,294117647;0,176470588;0,529411765
Barnsfield;0,103448276;0,275862069;0,620689655
Langthorne;0,095238095;0,380952381;0,523809524
Whitethorne;0,222222222;0,333333333;0,444444444
Lyttleton;0,15;0,15;0,7
Greenway;0,5;0,363636364;0,136363636
Graham;0;1;0
Dickens;0,2;0,2;0,6
Wellings;0,125;0;0,875
Owen;0,363636364;0,409090909;0,227272727
Hoskins;0;0;1
Coltrane;0;0,333333333;0,666666667
Sydney;0,263157895;0,421052632;0,315789474
Barnhill;0;0;1